what,kind,bundleId,bundleVersion,description,time
error,log,,,"Task repository link provider failed: ""null""",1250254940720
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.mylyn.tasks.ui"".",1250254940748
error,log,,,"Task repository link provider failed: ""null""",1250254940749
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1250254940766
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.mylyn.tasks.ui"".",1250254940770
error,log,,,"Task repository link provider failed: ""null""",1250254940770
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.mylyn.tasks.ui"".",1250254940783
error,log,,,"Task repository link provider failed: ""null""",1250254940783
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.mylyn.tasks.ui"".",1250254940799
error,log,,,"Task repository link provider failed: ""null""",1250254940799
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.mylyn.tasks.ui"".",1250254940814
error,log,,,"Task repository link provider failed: ""null""",1250254940814
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.mylyn.tasks.ui"".",1250254940824
error,log,,,"Task repository link provider failed: ""null""",1250254940824
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.mylyn.tasks.ui"".",1250254940835
error,log,,,"Task repository link provider failed: ""null""",1250254940835
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250254942654
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1250254969287
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250254971644
executed,command,org.eclipse.wst.sse.ui,1.1.100.v200905141750,"org.eclipse.wst.sse.ui.format.document",1250254973724
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250254984234
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250255028068
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1250255039552
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250255043005
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1250255044805
